Memory Index,Q0.7 Signed Binary Value,X Axis Value,Sigmoid Value (Real),Actual Stored LUT Decimal Value (Q0.7),Actual Stored LUT Binary Value,Absolute Error,MAE
173,00101101,2.141176471,0.894841368,0.898437500,01110011,0.003596132,
174,00101110,2.188235294,0.899188050,0.898437500,01110011,0.000750550,
175,00101111,2.235294118,0.903374465,0.906250000,01110100,0.002875535,
176,00110000,2.282352941,0.907404933,0.906250000,01110100,0.001154933,
177,00110001,2.329411765,0.911283792,0.914062500,01110101,0.002778708,
178,00110010,2.376470588,0.915015381,0.914062500,01110101,0.000952881,
179,00110011,2.423529412,0.918604031,0.921875000,01110110,0.003270969,
180,00110100,2.470588235,0.922054052,0.921875000,01110110,0.000179052,
181,00110101,2.517647059,0.925369722,0.921875000,01110110,0.003494722,
182,00110110,2.564705882,0.928555278,0.929687500,01110111,0.001132222,
183,00110111,2.611764706,0.931614909,0.929687500,01110111,0.001927409,
184,00111000,2.658823529,0.934552746,0.937500000,01111000,0.002947254,
185,00111001,2.705882353,0.937372857,0.937500000,01111000,0.000127143,
186,00111010,2.752941176,0.940079242,0.937500000,01111000,0.002579242,
187,00111011,2.800000000,0.942675824,0.945312500,01111001,0.002636676,
188,00111100,2.847058824,0.945166450,0.945312500,01111001,0.000146050,
189,00111101,2.894117647,0.947554884,0.945312500,01111001,0.002242384,
190,00111110,2.941176471,0.949844803,0.953125000,01111010,0.003280197,
191,00111111,2.988235294,0.952039798,0.953125000,01111010,0.001085202,
192,01000000,3.035294118,0.954143368,0.953125000,01111010,0.001018368,
193,01000001,3.082352941,0.956158924,0.953125000,01111010,0.003033924,
194,01000010,3.129411765,0.958089779,0.960937500,01111011,0.002847721,
195,01000011,3.176470588,0.959939159,0.960937500,01111011,0.000998341,
196,01000100,3.223529412,0.961710192,0.960937500,01111011,0.000772692,
197,01000101,3.270588235,0.963405916,0.960937500,01111011,0.002468416,
198,01000110,3.317647059,0.965029272,0.968750000,01111100,0.003720728,
199,01000111,3.364705882,0.966583112,0.968750000,01111100,0.002166888,
200,01001000,3.411764706,0.968070195,0.968750000,01111100,0.000679805,
201,01001001,3.458823529,0.969493190,0.968750000,01111100,0.000743190,
202,01001010,3.505882353,0.970854677,0.968750000,01111100,0.002104677,
203,01001011,3.552941176,0.972157148,0.968750000,01111100,0.003407148,
204,01001100,3.600000000,0.973403006,0.976562500,01111101,0.003159494,
205,01001101,3.647058824,0.974594575,0.976562500,01111101,0.001967925,
206,01001110,3.694117647,0.975734091,0.976562500,01111101,0.000828409,
207,01001111,3.741176471,0.976823711,0.976562500,01111101,0.000261211,
208,01010000,3.788235294,0.977865514,0.976562500,01111101,0.001303014,
209,01010001,3.835294118,0.978861500,0.976562500,01111101,0.002299000,
210,01010010,3.882352941,0.979813594,0.976562500,01111101,0.003251094,
211,01010011,3.929411765,0.980723650,0.984375000,01111110,0.003651350,
212,01010100,3.976470588,0.981593449,0.984375000,01111110,0.002781551,
213,01010101,4.023529412,0.982424704,0.984375000,01111110,0.001950296,
214,01010110,4.070588235,0.983219060,0.984375000,01111110,0.001155940,
215,01010111,4.117647059,0.983978099,0.984375000,01111110,0.000396901,
216,01011000,4.164705882,0.984703340,0.984375000,01111110,0.000328340,
217,01011001,4.211764706,0.985396239,0.984375000,01111110,0.001021239,
218,01011010,4.258823529,0.986058195,0.984375000,01111110,0.001683195,
219,01011011,4.305882353,0.986690553,0.984375000,01111110,0.002315553,
220,01011100,4.352941176,0.987294598,0.984375000,01111110,0.002919598,
221,01011101,4.400000000,0.987871565,0.984375000,01111110,0.003496565,
222,01011110,4.447058824,0.988422639,0.992187500,01111111,0.003764861,
223,01011111,4.494117647,0.988948954,0.992187500,01111111,0.003238546,
224,01100000,4.541176471,0.989451598,0.992187500,01111111,0.002735902,
225,01100001,4.588235294,0.989931612,0.992187500,01111111,0.002255888,
226,01100010,4.635294118,0.990389996,0.992187500,01111111,0.001797504,
227,01100011,4.682352941,0.990827703,0.992187500,01111111,0.001359797,
228,01100100,4.729411765,0.991245651,0.992187500,01111111,0.000941849,
229,01100101,4.776470588,0.991644715,0.992187500,01111111,0.000542785,
230,01100110,4.823529412,0.992025734,0.992187500,01111111,0.000161766,
231,01100111,4.870588235,0.992389511,0.992187500,01111111,0.000202011,
232,01101000,4.917647059,0.992736814,0.992187500,01111111,0.000549314,
233,01101001,4.964705882,0.993068379,0.992187500,01111111,0.000880879,
234,01101010,5.011764706,0.993384909,0.992187500,01111111,0.001197409,
235,01101011,5.058823529,0.993687077,0.992187500,01111111,0.001499577,
236,01101100,5.105882353,0.993975526,0.992187500,01111111,0.001788026,
237,01101101,5.152941176,0.994250871,0.992187500,01111111,0.002063371,
238,01101110,5.200000000,0.994513701,0.992187500,01111111,0.002326201,
239,01101111,5.247058824,0.994764579,0.992187500,01111111,0.002577079,
240,01110000,5.294117647,0.995004042,0.992187500,01111111,0.002816542,
241,01110001,5.341176471,0.995232605,0.992187500,01111111,0.003045105,
242,01110010,5.388235294,0.995450759,0.992187500,01111111,0.003263259,
243,01110011,5.435294118,0.995658974,0.992187500,01111111,0.003471474,
244,01110100,5.482352941,0.995857699,0.992187500,01111111,0.003670199,
245,01110101,5.529411765,0.996047363,0.992187500,01111111,0.003859863,
246,01110110,5.576470588,0.996228375,0.992187500,01111111,0.004040875,
247,01110111,5.623529412,0.996401128,0.992187500,01111111,0.004213628,
248,01111000,5.670588235,0.996565995,0.992187500,01111111,0.004378495,
249,01111001,5.717647059,0.996723335,0.992187500,01111111,0.004535835,
250,01111010,5.764705882,0.996873488,0.992187500,01111111,0.004685988,
251,01111011,5.811764706,0.997016781,0.992187500,01111111,0.004829281,
252,01111100,5.858823529,0.997153525,0.992187500,01111111,0.004966025,
253,01111101,5.905882353,0.997284019,0.992187500,01111111,0.005096519,
254,01111110,5.952941176,0.997408546,0.992187500,01111111,0.005221046,
255,01111111,6.000000000,0.997527377,0.992187500,01111111,0.005339877,
